id_leng,lenguaje,abrev
1,English,en
2,Français,fr
3,Español,es
4,Deutsch,de
5,Pусский,ru
6,Latin,la
7,Nederlands,nl
8,广州话 / 廣州話,cn
9,普通话,zh
10,Magyar,hu
11,한국어/조선말,ko
12,فارسی,fa
13,Dansk,da
15,日本語,ja
16,Italiano,it
17,العربية,ar
18,Hrvatski,hr
19,Bosanski,bs
20,,mn
21,Română,ro
22,Bahasa indonesia,id
23,Bahasa melayu,ms
24,shqip,sq
25,,mk
26,svenska,sv
27,עִבְרִית,he
29,Český,cs
32,,tl
33,Polski,pl
35,Norsk,no
36,Tiếng Việt,vi
38,Português,pt
39,हिन्दी,hi
40,Català,ca
41,Íslenska,is
42,Afrikaans,af
43,Srpski,sr
44,বাংলা,bn
45,Wolof,wo
46,Cymraeg,cy
47,ภาษาไทย,th
48,Latviešu,lv
50,български език,bg
51,ελληνικά,el
52,,ne
53,Türkçe,tr
55,suomi,fi
57,Український,uk
58,Slovenčina,sk
59,,iu
60,ქართული,ka
61,,bo
62,Bokmål,nb
63,,si
65,,sh
66,No Language,xx
68,Malti,mt
69,اردو,ur
70,isiZulu,zu
71,,lo
73,Bamanankan,bm
76,,ku
77,,hy
79,ਪੰਜਾਬੀ,pa
82,,qu
84,,am
85,پښتو,ps
86,,tg
88,,ml
89,தமிழ்,ta
91,Galego,gl
93,Kinyarwanda,rw
95,қазақ,kk
99,Lietuvikai,lt
100,Eesti,et
101,,fy
103,Slovenščina,sl
104,తెలుగు,te
109,euskera,eu
111,,mr
114,,ay
115,??????,ky
116,,jv
119,,lb
121,,ab
122,?????,kn
123,ozbek,uz
124,,sm
